system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,state,.geo
00020000000000000098,0.02255251532887943,-0.15606423407983377,0.04467365692718004,0.07193841313878198,-0.039890225979091976,-0.12778560260213265,-0.01546883898533893,0.08061405955444767,-0.023145638534037363,-0.10833665669193959,0.12557808201494275,-0.10467540928719038,-0.2865989640423933,-0.05577274698315435,0.09881520235717885,-0.05901909300980274,-0.12814796541501566,0.050827154583882955,-0.03626714127183932,-0.1694565565835885,-0.09540799052335208,0.05275829040052128,0.18146339473051518,-0.07024462329453852,-0.1385981441274751,-0.011885911126755454,0.12302261778859934,0.07499416091668533,-0.0901381898913093,0.036992448518094016,0.019620476541403677,0.08819841657172386,-0.03826875528758431,-0.01552075088657534,0.10573618292975227,-0.12751611477980196,0.07561653809453214,-0.06329788297962288,0.05523884257546042,-0.032897000983359174,0.06645369435576594,-0.09894308534162695,-0.22829461170695986,0.06971172521981933,0.004565998212677955,-0.019930675531639897,0.041593949984909145,-0.03500648549283214,-0.17480905918757314,-0.20180642302960067,0.08555600243689734,0.1508555563614762,-0.01161818894198789,0.038747639490509675,0.090500013430787,0.05090548861752973,-0.1349708821186833,-0.03804035701871814,-0.15112698301038474,-0.3192431851890544,0.005993797794518233,-0.07715374457429898,0.041326821683404825,-0.030895483930676124,Aguascalientes,"{""type"":""MultiPoint"",""coordinates"":[]}"
00020000000000000099,0.14558438208877827,0.12500394617950514,0.024796243985047775,0.03523738078491675,-0.09606216995276781,-0.02859667785319124,0.0019321180778727083,0.10960173138273241,-0.08368280972544241,-0.08986383228981334,0.1645713462740342,0.03894995187205536,-0.1931362813110148,-0.09663002680248473,0.09478578488464488,0.07183113709139145,0.07364933945312492,0.16948150067513712,0.06230214207961975,0.062413397093948,-0.023256154393544726,-0.044022566716422226,-0.06807098021063421,0.014987419297769478,-0.09628208506097334,0.03333265793117366,-0.05165870101478579,-0.039132207606838824,0.1506740044826108,0.10627986632113148,0.13392503996433247,-0.025676386997196668,0.06130716430435483,-0.10171651591606229,-0.06923943336595255,0.04990137674047421,0.016393546811843823,0.005966376587470801,-0.11628520049940959,0.10663775826968082,0.20688889677004002,-0.11002268109928674,0.05523132185745064,-0.07773465791656543,0.07354100718388053,0.038252632525032124,0.009323986523311697,0.07414516544736106,-0.04264682900638229,-0.07956779702070779,-0.06138450248285147,-0.042805306537330806,0.11876827027775386,-0.042802946093998435,0.028585817778876744,0.01914558437809119,0.027674851773699615,-0.06793392066349536,-0.07566562120607503,-0.15681899070501215,0.0038456448828278296,0.02094576168978596,0.018416180427297493,0.017874900737052182,Baja California,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009a,0.1282514500423229,0.13494894242236558,0.04253174971072076,0.04893566174411087,-0.1785236215177983,-0.06824992022805161,-0.024729392439485114,0.10669426083037553,-0.14564942919756962,-0.033656168444276144,0.19119339261534712,0.09641459108684691,-0.14519213184402285,-0.06766913436901277,0.0046099221467057845,0.14996639772974826,0.1660892670325728,0.20287248731902716,0.06529868719762821,0.11796119711712759,-0.06937056009471686,-0.026083188436953,-0.020756507375886676,0.05382596398482062,-0.08326070537150057,0.00804982614653143,-0.017059041135327253,-0.004176758380678108,0.04899460722750984,0.123164389801711,0.090743565409225,-0.021302100622935395,-0.01775980182020795,-0.13623841633530176,-0.08542743838466142,0.012212657763947391,-0.026033831177279233,0.002434579028946163,-0.06086238684930772,0.17890853732209008,0.24390646893896278,-0.09226632015000193,-0.01568850605103067,-0.01928688293054526,-0.021798327391200648,-0.017000168148315283,-0.010256253204921583,0.0464914611145634,0.03874918679900343,-0.02478776756495091,-0.09383123522533056,-0.02352527740141046,0.07907080369273155,0.03818735977617547,0.04946865302652169,-0.046966442186863216,0.10727804555850277,-0.02235952370326782,-0.11538707161569442,-0.17554921469510926,-0.018510645681630234,-0.017001994174963727,-0.020653996774413947,0.052913758446542114,Baja California Sur,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009b,-0.008447581378575533,-0.09643269637347295,-0.017876644971718404,-0.06524876882991157,-0.19729904908867638,-0.08215370555354828,0.11388209997466398,0.11333576225267958,-0.14123317398065924,0.07113819136162441,-0.010269280101845283,0.11801798483650484,-0.16003552595956558,0.05409721270287257,-0.05329885873865153,0.10808279857467894,0.0067571110105259695,0.06419454325446426,-0.04094900698474335,-0.0435866785513693,-0.2622017406084287,0.17895948671744327,0.2012358785255419,-0.052483573203295136,-0.04910119734576909,0.03514590885707709,0.14560691791797728,0.022265187323520286,-0.14230842522608717,0.2247542014690759,0.0658502586641807,-0.05672521568048361,0.13141505942186463,-0.03504512641762412,-0.10597445409990022,-0.050332094559177844,0.016475075490409267,-0.052181315335161835,0.010518638268604781,-0.03568357310316072,0.09591171479172639,-0.1162313906790566,0.06186326669160453,0.22151666927054908,-0.056796849422512154,-0.029474784018924356,-0.16273382096600436,-0.09879208842116774,0.10738480916837602,0.012113005395589524,-0.04435136831665125,-0.13941509100475222,-0.05352723400049817,0.056955348612533534,-0.05583903477680496,0.02993740266900211,0.03206442392446899,-0.03428011711514599,-0.11113262509944323,-0.22062646713440506,0.08279063990758616,-0.12085400199523684,-0.09508299356740384,0.0180487364532517,Campeche,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009c,-0.0013413083047332133,-0.10316169104911498,0.06522113602307018,-0.0313964618103618,-0.041567421705159806,-0.1035379573913598,0.04340143536513102,0.10931459494662157,-0.011661969714136553,0.02083138643782358,0.023450650683089554,0.07043317975910311,-0.24774259243972147,0.05869827267596134,0.013112988043961354,-0.016920846105455065,0.014533778439548745,0.03967796234223334,-0.13102138737234362,-0.10980487430921589,-0.26958885746885053,0.13192843570449667,0.05619264808502969,-0.08600599760139063,-0.06598415429314272,-0.0012285104480525963,0.13478395505747373,-0.06088996556634478,-0.1857150387814658,0.09052987770141535,0.02628507436219155,-0.02354726840528929,0.051726638846204306,0.023152241044079425,-0.0459030260235004,-0.04442412469290559,0.014167314748526718,-0.07750349395740778,-0.005661827651316582,-0.11015530896866603,0.07332922760635903,-0.15133430025737551,-0.09039652179038037,0.27190890053413835,-0.08370950116421688,0.016712345353784474,-0.10662345881752477,0.030038119857200302,-0.07589532163514658,-0.05150529207075559,0.02552948075990197,-0.1090642461866492,0.03721290978267751,0.0347674902436601,0.06436133146816629,-0.004531378287144543,0.011416507322267563,-0.035040231959922064,-0.10842640533669583,-0.28747520345600003,0.06424796712816629,-0.11207712082677973,-0.011671625479836625,-0.06684992266017246,Chiapas,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009d,0.11393961321040627,-0.0038284340421347713,0.04246148966578193,0.06300066748279007,-0.02155744596454653,-0.04070516045235845,-0.05086693023522934,0.12499318085843492,-0.04774782365192418,-0.07257303456022701,0.10687454366648216,-0.025242409667733483,-0.215204859697162,-0.11380623223250393,0.12138000566472608,0.01680303707727677,-0.11186434872943453,0.09478510205559838,0.07061133386712172,-0.11738039705358862,-0.0843134814249272,-0.05277364863362992,0.05754511651412578,-0.019232255899252915,-0.19386705485417813,0.05419011157207224,0.0031998742588135397,0.0032068589896886907,0.042199324294191404,0.08304822064486383,0.10718331455300643,0.027825313905293952,0.08150798571844045,-0.03459264881093627,0.06091364045507601,-0.022251998051645388,0.07757208891316085,-0.03996644130407981,-0.029348835806126867,-0.06343045233403662,0.1700129149986989,-0.051012437438154354,0.010674235546628037,-0.06218842447844967,0.05346194165469466,0.11148329347198997,0.05841557439278096,0.007454617448901578,-0.11399145420271468,-0.20350604715631881,0.0016688916701788745,0.019049140345762328,0.059162252576699055,0.03461644855104131,0.08745083949800793,0.038773853438769754,-0.15134048824746535,-0.08069511142640115,-0.06712677940764677,-0.1944334335694918,-0.011627837185166707,-0.002087156418001858,0.06313535947739535,-0.025255885276278187,Chihuahua,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009e,0.11097774508792085,-0.01789967033248079,0.021190795120610322,0.1954766054528889,-0.018149225937155403,-0.12246438059303451,-0.08169186268543374,0.08635954230835638,-0.12605414351231745,-0.054638053889783975,0.09739523653495948,-0.023416687202280795,-0.21232385945358564,-0.17098425467572873,0.07484799445083923,0.028645987066545184,6.73345259884724E-4,0.172374554907447,0.1005611573000997,-0.1046997522374189,-0.12462177800432692,-0.0058255062968291015,-0.017913529893335202,0.024981208723198308,-0.17717027839162955,0.045660074074082464,0.03846667950649595,0.042753511732230305,-0.061873526755038745,0.09499585850890606,0.10386794926750292,-0.0188080539034228,0.10631456035927361,-0.04183992638518413,0.029322333753496722,-0.001474958212474186,0.03949011359838035,-0.06393964526404847,-0.0689716416558675,0.0364476218082693,0.2259806506978975,-0.0714977804753517,-0.019392531043504465,-0.014142596834551897,0.03393067189275027,0.07974022951347236,0.057714409746051513,0.011521184988102107,-0.06641437336193183,-0.16528295816642405,-0.020246834323216625,0.007672970266765773,-0.027580758439698528,-0.010104994365687476,0.08812029960286323,0.05790901444179019,-0.10567259103025095,-0.046308400328560505,-0.021664108982574426,-0.23949804800031824,-0.06692114308086675,0.02169450811844128,0.0959527125373835,0.0636548515610154,Coahuila,"{""type"":""MultiPoint"",""coordinates"":[]}"
0002000000000000009f,-0.016969290891194862,-0.12169966999964217,0.10314307875921198,-0.11790401864388403,-0.08911955680015002,-0.12508265018127737,0.005512797958872491,0.15970272087730003,-0.08167553657728933,-0.012261712675842877,0.038624260912485664,0.13128821662707216,-0.24645630669945243,0.002068399009265968,0.03113924043273855,0.07091366026900474,-0.007037929717384459,0.05230269874467387,-0.1097884694849872,-0.033805651571259226,-0.25475686695123256,0.15220718351137505,0.14277618533687444,-0.08195565586136529,-8.937667618390911E-4,-0.030747843825747613,0.06037365483201457,0.09625290479879937,-0.13673497939314597,0.08749433185716887,0.04985924870685361,0.08365101301926792,0.025482037167447076,0.008170406370993998,-5.34019953058267E-4,-0.04550340252161613,0.060654411540437936,-0.006880846558777884,0.11355148600936826,-0.08211020781198101,0.11093607626792097,-0.1623696169880451,-0.07897772221701181,0.2422864072422745,0.04623232386039311,0.01390850372900592,-0.05874970315545894,0.01542798510150951,-0.018364981547850472,-0.031110811853027113,0.03058765618456194,0.0011668775075798863,0.006283864988492133,0.01943222806841468,0.07520480903842275,-0.053023141982285554,-0.028637191679836766,-0.07531080803763834,-0.16256128412061183,-0.2381839252971032,0.17807855868493336,-0.13956253827917706,0.009407144523054271,-0.053899464713467585,Colima,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a0,0.08871502623630356,-0.23127740983295905,0.033737530723944996,-0.002379124861954882,-0.019569932667754024,-0.1016967520433019,0.004866502661762145,-0.011294887458648631,-0.04036060972211994,0.03346165869010009,0.1270376493216823,-0.0896186330509382,-0.25437861489436014,-0.04692860786192705,0.006687453718143914,-0.08279788381491231,-0.12290600479627994,-0.027047566121230434,-0.00645248631012849,-0.13955982361972974,-0.05380302352959806,0.018431651112621964,0.15012756552861325,-0.15554071307978432,-0.07823289477470947,0.023469179426527393,0.0010491854083026979,0.035128524340375174,-0.02375021666390425,-0.001189341255768263,0.012652956541961153,0.07772527829790199,-0.0933270571609508,-0.006045932245865181,0.11054354536156885,-0.12670098205983135,-0.025995762651855218,-0.09143482657501646,0.04051597656496884,-0.10127872296735295,-0.05384938270903876,-0.08794743729696933,-0.23512162320409416,0.1273142979872493,0.019023691356985284,-0.02080689880581041,-0.07275606174700945,0.05974960158314368,-0.13740275704094143,-0.0967051989317915,0.077456266838427,0.0630770007803993,-0.006531769144171234,0.1006689218449456,0.12087314791862303,-0.11080849089059598,-0.03214178338644343,-0.011499660187164197,-0.2003907878004815,-0.3095166973748384,0.06788467119865241,-0.06279153698601164,-0.09842201076958683,-0.05751449861105112,Distrito Federal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000200000000000000a1,0.07379546295059139,-0.10885964406074614,0.04030866051553684,0.02855049359391748,-0.0458972941670986,-0.1182178340185091,-0.057393869139846364,0.14576532114863533,-0.026390051292759557,-0.062420047058509925,0.08570877505835432,-0.03811846071888248,-0.22130639842452976,-0.08991349922177043,0.12291287203808726,0.012515112205060823,-0.14198870608796324,0.10354055504561774,-0.019990481676662147,-0.13862713391848758,-0.09895754682920753,-0.03313530524271936,0.1477838688508047,-0.05593384270456889,-0.10927659106264616,0.012686614596174867,0.0305060585641616,0.0990596399209544,-0.03047518285385031,0.04392417861739438,0.09425331242155616,0.10361504607406002,0.022380917890177904,0.04585149715294796,0.06209226399551097,-0.06152300976287505,0.06431814508295718,-0.04120534914412746,0.05439169886023298,-0.07014242911584809,0.0954046512820181,-0.08055744890891091,-0.11110040178872302,0.049708644655217085,0.05909130026454093,0.06164840979813772,0.027724327258186746,0.026233965078064754,-0.13555709040947586,-0.18383877865550574,0.0728668353114343,0.04157616496386601,0.029743115761487793,0.058603157185430285,0.08493009430395129,-0.024782650620653237,-0.15065276739056171,-0.06524891513965451,-0.08654974450985782,-0.27887776940746384,0.02861638019172657,-0.05926334738976611,0.053762595779076626,-0.05764660942182237,Durango,"{""type"":""MultiPoint"",""coordinates"":[]}"
