state,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,San Luis Potosi,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Quintana Roo,Sinaloa
Aguascalientes,1.0,0.1981766318173257,0.15378367413203314,0.32269656403901636,0.6108412567983341,0.7024353732531189,0.6225483269978115,0.6343118837767194,0.820741905774384,0.9010413945595471,0.9612380332575046,0.7340498873228569,0.8914240549406925,0.8968979014649552,0.9148879498818909,0.8327550925584651,0.8741502735458959,0.7145272505037824,0.599625811521973,0.6998133585169235,0.8939209894508858,0.9261917481279511,0.870508150646053,0.4232761246909605,0.2573082058142844,0.4563263108638923,0.9266990420046862,0.4080724845046027,0.24615307997438937,0.964948444830521,0.1577012075952412,0.5670793875290843
Baja California,0.1981766318173257,1.0,0.8513587637372593,0.18384595367688245,0.16583011538015507,0.6465995527881248,0.6690864621391113,0.2003917681530463,0.05195913707016934,0.3643483001605629,0.1867637130340009,0.15326160329503416,0.21228038420269293,0.18746079432411672,0.10848064425237927,0.15919226888388321,0.11906969438451157,0.23543910296837922,0.5260330867764538,0.21883262672912088,0.22108985757591854,0.23844658860380755,0.3789407940314075,0.8638615848252886,0.19167509131855628,0.3896023546864239,0.08779123212613145,0.22145837988424047,0.16737682771368437,0.3074242682749259,0.16243086284871674,0.39033709714400106
Baja California Sur,0.15378367413203314,0.8513587637372593,1.0000000000000004,0.3716756226638396,0.24172311995216905,0.4068280598463571,0.5673483136419203,0.30542701897729035,0.06535198814306055,0.24330915302372302,0.19351170800702136,0.2229627833217129,0.2177100278566663,0.2209858904981994,0.11369513870293785,0.22970578643450418,0.15592790265348971,0.2881105755231112,0.4968594420787484,0.28962621719273135,0.2410397586021418,0.24215735342528763,0.37417920018427114,0.7258098570402053,0.31418958510352973,0.46861292504050484,0.07071089524256473,0.3205966747227564,0.3943206302735412,0.25255261721759936,0.3662593789912265,0.46468352808440416
Campeche,0.32269656403901636,0.18384595367688245,0.3716756226638396,1.0000000000000002,0.765467694505493,0.20297240506977218,0.2884501884019925,0.7431401944859055,0.3166804843329639,0.33104874545713764,0.40001595437372756,0.6314291514864628,0.521452114361323,0.5463117401920832,0.4159883381453656,0.5790817507058271,0.49950603382625847,0.6614765910301147,0.45659264106221614,0.6858417174868824,0.5342451612870588,0.47508861196397667,0.48414891755646255,0.34538589882134885,0.8156818007018785,0.6146131649408388,0.3085229307320536,0.7973493364731884,0.9602004679881022,0.3285483818152954,0.9464285758228538,0.695849064357459
Chiapas,0.6108412567983341,0.16583011538015507,0.24172311995216905,0.765467694505493,0.9999999999999997,0.37809134138608264,0.3994728178293163,0.8492069437514355,0.6115368173410775,0.5887696824747733,0.6762521754049902,0.8805703724465956,0.838676690016256,0.7996043383409167,0.7327566815739491,0.8360675928355145,0.7583795603781263,0.8164548730717973,0.5300090428347455,0.9588573953888396,0.8427013368886072,0.7574369246168173,0.6897040468251161,0.3494801231543331,0.7647783178941062,0.60238020583655,0.6226918589993083,0.8800451696569148,0.6475610361973723,0.580143955257224,0.6009721265255764,0.6965552118561896
Chihuahua,0.7024353732531189,0.6465995527881248,0.4068280598463571,0.20297240506977218,0.37809134138608264,1.0000000000000002,0.8596814067260246,0.4005735537897241,0.4668262428639247,0.8467480071461718,0.6519508541768491,0.43561658245572216,0.612122211933849,0.5849191722086942,0.5674315816449765,0.5103637333646497,0.5276077895144247,0.4990964137135204,0.7187213907885646,0.4427598824191589,0.5996612109967423,0.655718493454911,0.7570508365595573,0.8366610273624111,0.20234725916406715,0.49967071192976664,0.5783489957493888,0.3179888952579398,0.13480131820564425,0.8005078251838816,0.10960392823981398,0.48551717244868553
Coahuila,0.6225483269978115,0.6690864621391113,0.5673483136419203,0.2884501884019925,0.3994728178293163,0.8596814067260246,1.0000000000000002,0.36583516423395346,0.34351223706983824,0.7083822946349565,0.5917333130445878,0.3923930830009189,0.5828001223584871,0.5036472484775062,0.4455191920948476,0.446047976129068,0.448355594590943,0.4289732764218004,0.894550018001526,0.4460448928300773,0.5757140248388002,0.6314666632258994,0.8357963459322681,0.8016660060649033,0.2551471951500468,0.6883881910277247,0.43859683504797153,0.39689098549807245,0.24856916546089594,0.7322998063233321,0.18468072889847723,0.4705352216367496
Colima,0.6343118837767194,0.2003917681530463,0.30542701897729035,0.7431401944859055,0.8492069437514355,0.4005735537897241,0.36583516423395346,0.9999999999999999,0.6095950374090984,0.6759731522685324,0.7050216121134112,0.9426495408401926,0.7804316603596446,0.8761450268271074,0.7445070672177818,0.9045730690230512,0.856510176602503,0.9617570372595793,0.48436660616825084,0.8560885726573815,0.785582007129933,0.7610877903602535,0.6326598803546518,0.44614326334776505,0.652347917854599,0.5761732619093958,0.6179898877647343,0.7359273574662356,0.6731984617834864,0.6018086980194126,0.6247075889910408,0.9122405708528135
Distrito Federal,0.820741905774384,0.05195913707016934,0.06535198814306055,0.3166804843329639,0.6115368173410775,0.4668262428639247,0.34351223706983824,0.6095950374090984,1.0000000000000004,0.7474650213495428,0.8341767920578959,0.7035484414212204,0.8410977267989879,0.8129119801655761,0.938175323291747,0.8004977768656104,0.8329500465249811,0.6766370664517795,0.3966304259617221,0.7067032821875185,0.8424837403752632,0.8348021670009546,0.6580866427366786,0.21469022283556044,0.2585438229273217,0.29498356991257585,0.9118817532966371,0.373757152283332,0.23614058303154475,0.7363713185374926,0.1812207563514847,0.48861434544303933
Durango,0.9010413945595471,0.3643483001605629,0.24330915302372302,0.33104874545713764,0.5887696824747733,0.8467480071461718,0.7083822946349565,0.6759731522685324,0.7474650213495428,0.9999999999999994,0.8853579658289596,0.7555167479391496,0.8604669010259925,0.8819851787964793,0.8672155448429005,0.8256387453394036,0.8268159641599065,0.7977921786386178,0.6845630771768847,0.6956556572613795,0.8408984069294909,0.9029374104431274,0.8504781520661135,0.6344564858788705,0.26513624276648684,0.5348706977400495,0.8311564112408014,0.417630078417617,0.256304832206864,0.9290025375172623,0.1994495245790832,0.6853120721935504
