PC1,PC2,capital,state,lon,lat
-0.0020843702,-0.07738549,Aguascalientes,Aguascalientes,-102.2916,21.8853
-0.050686017,-0.05911247,Mexicali,Baja California,-115.4683,32.6245
-0.16777597,-0.10752547,La Paz,Baja California Sur,-110.3128,24.1426
-0.17143638,0.02552957,San Francisco de Campeche,Campeche,-90.5349,19.8301
-0.015207462,-0.03965198,Saltillo,Coahuila,-100.9864,25.438
0.0077580237,0.086720735,Colima,Colima,-103.7271,19.2452
-0.061560016,0.029526278,Tuxtla Gutierrez,Chiapas,-93.1167,16.7569
0.008650232,-0.08589539,Chihuahua,Chihuahua,-106.0889,28.6353
0.107558094,0.026864255,Ciudad de Mexico,Ciudad de Mexico,-99.1332,19.4326
0.03686458,-0.06467224,Durango,Durango,-104.6532,24.0277
0.053656183,-0.07127211,Guanajuato,Guanajuato,-101.2574,21.019
-0.06312924,-0.0047530727,Chilpancingo,Guerrero,-99.5,17.55
0.08584766,0.0016553808,Pachuca,Hidalgo,-98.7624,20.1011
0.049524713,0.011464123,Guadalajara,Jalisco,-103.3496,20.6597
0.07119347,0.05655911,Toluca,Estado de Mexico,-99.6557,19.2826
0.05252931,-0.03347506,Morelia,Michoacan,-101.194,19.702
0.04237227,0.05899177,Cuernavaca,Morelos,-99.2342,18.9242
-0.023421725,0.054885566,Tepic,Nayarit,-104.8946,21.5085
0.032123554,-0.0077890577,Monterrey,Nuevo Leon,-100.3161,25.6866
-0.0012820369,0.023758095,Oaxaca,Oaxaca,-96.7266,17.0732
0.12997603,0.058129083,Puebla,Puebla,-98.2063,19.0414
0.050010677,-0.03740219,Queretaro,Queretaro,-100.3899,20.5888
-0.16685274,0.13558474,Chetumal,Quintana Roo,-88.3038,18.5001
0.026217127,-0.086905956,San Luis Potosi,San Luis Potosi,-100.9855,22.1565
-0.05282503,-0.042286824,Culiacan,Sinaloa,-107.394,24.8091
-0.068357535,-0.10178209,Hermosillo,Sonora,-110.9559,29.0729
-0.08871153,0.14088136,Villahermosa,Tabasco,-92.9303,17.9892
0.011912124,0.016968902,Ciudad Victoria,Tamaulipas,-99.1456,23.7369
0.14462014,0.05483908,Tlaxcala,Tlaxcala,-98.239,19.3182
0.08570017,0.11568694,Xalapa,Veracruz,-96.9102,19.5438
-0.12357857,0.03932431,Merida,Yucatan,-89.5926,20.9674
0.060394205,-0.11745992,Zacatecas,Zacatecas,-102.5832,22.7709
