capital,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Saltillo,Colima,Tuxtla Gutierrez,Chihuahua,Ciudad de Mexico,Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Queretaro,Chetumal,San Luis Potosi,Culiacan,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Merida,Zacatecas
Aguascalientes,1.0,0.26710436,0.36965132,0.35085893,0.34655035,0.38060334,0.25598672,0.4024155,0.40535682,0.5185648,0.49740988,0.25427985,0.43111295,0.43869275,0.35932088,0.41374508,0.36294466,0.34405497,0.3215014,0.29529208,0.425649,0.54723626,0.23300521,0.5676452,0.4372142,0.40786484,0.30657774,0.35004622,0.4256208,0.31181324,0.38762522,0.5486264
Mexicali,0.26710436,0.99999976,0.29238707,0.15420964,0.21856919,0.22805095,0.11290742,0.31483114,0.24612822,0.2975063,0.22265396,0.17941642,0.22678743,0.30338183,0.24944706,0.25231525,0.21012318,0.30893058,0.25708163,0.21264163,0.253431,0.30179295,0.20140435,0.28525537,0.32861304,0.43056256,0.2021977,0.29173926,0.276276,0.13629147,0.26174155,0.21209618
La Paz,0.36965132,0.29238707,1.0000001,0.34847116,0.25928307,0.2674361,0.1947658,0.26700014,0.12334643,0.22640187,0.15241924,0.29797664,0.1726159,0.24629496,0.14176032,0.23347151,0.21524231,0.30273944,0.18903466,0.21813491,0.21713413,0.2804318,0.29138798,0.35410723,0.3200392,0.34082636,0.18812719,0.22834678,0.18872616,0.03259567,0.28404656,0.26079074
San Francisco de Campeche,0.35085893,0.15420964,0.34847116,1.0000001,0.26692235,0.23262715,0.30359846,0.24615142,0.14880952,0.25802565,0.2834575,0.26157588,0.16884501,0.24217391,0.14563082,0.23482889,0.25731677,0.26956686,0.145064,0.34402186,0.18428811,0.2676559,0.40691733,0.24863775,0.31195763,0.29246294,0.368672,0.26350445,0.23134759,0.19171888,0.5407295,0.26145813
Saltillo,0.34655035,0.21856919,0.25928307,0.26692235,1.0000004,0.30836618,0.27775964,0.3897329,0.26377308,0.43483824,0.30614635,0.2650559,0.41985726,0.31457746,0.35896924,0.32462686,0.28914008,0.29173583,0.5595323,0.2841142,0.28638864,0.41389522,0.22628206,0.40315086,0.31795228,0.33945894,0.33531672,0.4626106,0.3238224,0.28662798,0.2542683,0.34747714
Colima,0.38060334,0.22805095,0.2674361,0.23262715,0.30836618,0.9999999,0.28414392,0.27864808,0.39052403,0.34565294,0.25582227,0.35911232,0.4122232,0.49358207,0.48025635,0.33838183,0.45155776,0.4655063,0.30875263,0.36581832,0.42139268,0.37103915,0.27465832,0.34643328,0.36285722,0.331913,0.39441997,0.4361388,0.42708546,0.4302317,0.29603073,0.28536022
Tuxtla Gutierrez,0.25598672,0.11290742,0.1947658,0.30359846,0.27775964,0.28414392,0.9999999,0.24049252,0.17875865,0.26078784,0.2301481,0.36089137,0.26218945,0.23100212,0.22927767,0.24349044,0.28082716,0.26288414,0.26314938,0.3112358,0.2530643,0.23470739,0.16335806,0.24925882,0.32321143,0.23154528,0.3624574,0.32677406,0.20201525,0.2891213,0.27725562,0.27401492
Chihuahua,0.4024155,0.31483114,0.26700014,0.24615142,0.3897329,0.27864808,0.24049252,0.99999976,0.31803066,0.39259708,0.3670255,0.18447709,0.39071536,0.3551666,0.32899565,0.3849634,0.22102721,0.24896993,0.43238512,0.3059075,0.35105166,0.4094864,0.16088858,0.4772415,0.37573132,0.36517304,0.21898685,0.36663797,0.389188,0.2885791,0.2861653,0.3987706
Ciudad de Mexico,0.40535682,0.24612822,0.12334643,0.14880952,0.26377308,0.39052403,0.17875865,0.31803066,1.0,0.40056282,0.4473932,0.20871836,0.5356239,0.5519081,0.5358313,0.4472435,0.5605336,0.3350972,0.42336923,0.34030694,0.5769853,0.48524845,0.15408424,0.4134575,0.26892582,0.31825528,0.26982605,0.38331604,0.5274865,0.45069867,0.2969284,0.4252907
Durango,0.5185648,0.2975063,0.22640187,0.25802565,0.43483824,0.34565294,0.26078784,0.39259708,0.40056282,0.9999999,0.39485866,0.34109387,0.4814809,0.42444104,0.38585943,0.43925005,0.37901983,0.29990327,0.36252302,0.35144168,0.4152099,0.51039207,0.18648267,0.44099987,0.39845684,0.37659812,0.24535084,0.3682124,0.45082968,0.3824377,0.33766276,0.5294148
