capital,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Saltillo,Colima,Tuxtla Gutierrez,Chihuahua,Ciudad de Mexico,Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Queretaro,Chetumal,San Luis Potosi,Culiacan,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Merida,Zacatecas
Aguascalientes,1.0,0.037251737948896906,-0.026308676953309677,-0.20245824092754305,0.4485869155600085,0.5367970725335249,0.190819349146411,0.742624074623881,0.7948730709830242,0.8710011696245349,0.9536046550848608,0.5640871637107061,0.7671420495102114,0.8344547968521133,0.8007281989898583,0.7973897474722306,0.7663376636240794,0.6923327292747017,0.4024814078578563,0.5008796089894272,0.703447220496624,0.9114949988482055,-0.1717878716754634,0.9400187233068955,0.5324536383457573,0.5939969769869227,0.06737829296656728,0.3268131197208326,0.7043197175303384,0.27868235019675897,-0.29059116812831226,0.9640578498728568
Mexicali,0.037251737948896906,1.0000000000000002,0.4216734497645412,-0.33509973539058185,0.2153320073289776,-0.007831835809390203,-0.46268141559571424,0.20563746764177426,-0.09607313198974836,-0.04390453610912099,-0.027614699756103218,-0.2291164918701412,-0.149912632953719,-0.002520216825618456,-0.09582975327692997,-0.08627339810359361,-0.12398793310291358,0.055966911958571966,0.1488112185775934,-0.3209458962936769,-0.16526413305355298,-0.07148619266465618,-0.3539848759358087,0.009988465675417637,0.04845891911020147,0.22190825306284276,-0.3769029482476873,-0.12297120208272916,-0.1492132287689875,-0.308690497950685,-0.24533823385303868,0.07741589860556734
La Paz,-0.026308676953309677,0.4216734497645412,1.0000000000000009,0.11374451119296791,0.22914067428295962,0.3073142654553875,-0.030926768307072795,0.08144918091878628,0.050368980733790064,0.020231670864883818,0.020187521312494947,-0.005790593836500724,0.048730129253840834,0.1038181077550883,0.02524080745287856,0.026960984379878903,0.0181272091311826,0.3189671478726374,0.22596065215521066,-0.012739328352686539,0.05534598215983741,0.023591447210770777,0.10856746496751729,0.0235780203392462,0.49338382525076313,0.1285055148427376,0.019554188944652967,0.20386847723741575,0.07260161310686677,0.1338218891918424,0.19151649523385325,-0.05017437699470833
San Francisco de Campeche,-0.20245824092754305,-0.33509973539058185,0.11374451119296791,1.0000000000000004,-0.13071015479580128,0.09697181650188462,0.448816607356851,-0.3312334730200991,-0.15449555820125332,-0.0984762144975591,-0.1812960160198239,0.10450870437798945,-0.06967601990564125,-0.08200337323972456,-0.1533743275137868,-0.13131960730939674,-0.1328741358970615,0.12678351581021158,-0.0778682779265253,0.05627514361583331,-0.08215990268431782,-0.17085713206476577,0.8384051252637404,-0.1702581474676083,0.16667904781038256,-0.2352283825594326,0.654374488637733,0.2753847850027223,-0.07591382635797649,0.3346794606109948,0.9305322574029343,-0.22157784951784068
Saltillo,0.4485869155600085,0.2153320073289776,0.22914067428295962,-0.13071015479580128,1.0000000000000004,0.027912394968274253,0.021724125821294276,0.5788920089338561,0.2868135226971389,0.4620765808222762,0.38373402178263855,0.14049193586478995,0.32408340074867836,0.16132545114303756,0.2490840913876613,0.1850939866291808,0.24513813576769383,0.1768020160956147,0.9773959189129742,0.19964292424253607,0.27690155046771336,0.3547819863170129,-0.15892340353617035,0.6421203978054906,0.19189677560271468,0.39251917388787094,-0.03760464047808264,0.7580177189128713,0.2865138723351824,0.04042902340565189,-0.05810511397688273,0.5420263682710467
Colima,0.5367970725335249,-0.007831835809390203,0.3073142654553875,0.09697181650188462,0.027912394968274253,1.0000000000000007,0.48531663127646374,0.27710589686013903,0.7407430619753508,0.49992660179481435,0.6652357528364361,0.7649085176470756,0.6891261680848882,0.862657561264109,0.7667624216835702,0.8148697374024526,0.7587939562130058,0.8979512603704279,0.042778117552422806,0.6450184159199457,0.7050481186430914,0.6938173125288357,0.1013834423431356,0.4067074231340767,0.7921241101210388,0.2600454525551915,0.33682230333132274,0.08679919271307297,0.7023076849186549,0.6085213386776458,-0.005051054623049079,0.35638698051134343
Tuxtla Gutierrez,0.190819349146411,-0.46268141559571424,-0.030926768307072795,0.448816607356851,0.021724125821294276,0.48531663127646374,1.0000000000000007,0.023534075003236392,0.4093415091921067,0.3407184724534684,0.270829626818531,0.5894192254195857,0.48401370076384226,0.3439520449754211,0.39173580052056906,0.36754225188455664,0.43481512965579033,0.4693728431158761,0.0739191318371867,0.6995888181406048,0.5215299609131046,0.32176815217315397,0.39751647655972266,0.20231248759603532,0.3480645831050481,-0.010679952974590384,0.8734544863690116,0.28232173093254664,0.5157405534766973,0.7483078553918701,0.28168954200035196,0.1120794766233745
Chihuahua,0.742624074623881,0.20563746764177426,0.08144918091878628,-0.3312334730200991,0.5788920089338561,0.27710589686013903,0.023534075003236392,1.0000000000000002,0.57956644088859,0.7630237580357514,0.6649289442640915,0.3206082464682694,0.5771108959626386,0.5211269329803389,0.551829656739993,0.5007093796849368,0.5337268517611015,0.41733760420480903,0.48151223629091605,0.2720204658749062,0.5320992004179936,0.6350701114545442,-0.3063126884873851,0.7524336809285231,0.4382291394501378,0.7474735298963058,-0.06811972806099346,0.3599951501190545,0.5427172258403062,0.17833390161971008,-0.3425458746532902,0.7934777535118471
Ciudad de Mexico,0.7948730709830242,-0.09607313198974836,0.050368980733790064,-0.15449555820125332,0.2868135226971389,0.7407430619753508,0.4093415091921067,0.57956644088859,0.9999999999999993,0.6989804789489344,0.9061081997932022,0.8073441238733711,0.9642573525673719,0.8677113956484871,0.9887532352472352,0.9403222327261308,0.9887658868030847,0.7213371434302407,0.2708826675226762,0.7311422930781142,0.9681642605478263,0.9496635089060415,-0.10540997908412607,0.7562855940107167,0.6556235642900137,0.39839892185527626,0.2082939101590087,0.24352197333597295,0.9650534640673514,0.6201758699427435,-0.23648666579148278,0.6746154003916978
Durango,0.8710011696245349,-0.04390453610912099,0.020231670864883818,-0.0984762144975591,0.4620765808222762,0.49992660179481435,0.3407184724534684,0.7630237580357514,0.6989804789489344,1.0000000000000002,0.7851906906827814,0.5940053989877522,0.7078747957435506,0.7113287393931241,0.6828532414894334,0.6444442494283146,0.6785484323534818,0.6936379775247735,0.40750984411144625,0.5633108367302634,0.6754144948439676,0.755615029918432,-0.15888159615109926,0.821372217945598,0.6356986826413707,0.6298340876232121,0.23044375877105439,0.3666229673914648,0.674578461790345,0.41389508959756605,-0.19986433211776763,0.8859326189534809
